"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ylin lämpötila [°C]"
"Enontekiö Kilpisjärvi Saana","2022","12","29","02:00","-10.7"
"Enontekiö Kilpisjärvi Saana","2022","12","30","02:00","-10.6"
"Enontekiö Kilpisjärvi Saana","2022","12","31","02:00","-6.2"
"Enontekiö Kilpisjärvi Saana","2023","1","1","02:00","-5.4"
"Enontekiö Kilpisjärvi Saana","2023","1","2","02:00","-4.6"
"Enontekiö Kilpisjärvi Saana","2023","1","3","02:00","-5.6"
"Enontekiö Kilpisjärvi Saana","2023","1","4","02:00","-9.6"
"Enontekiö Kilpisjärvi Saana","2023","1","5","02:00","-10.4"
"Enontekiö Kilpisjärvi Saana","2023","1","6","02:00","-12.3"
"Enontekiö Kilpisjärvi Saana","2023","1","7","02:00","-13.5"
"Enontekiö Kilpisjärvi Saana","2023","1","8","02:00","-16.6"
"Enontekiö Kilpisjärvi Saana","2023","1","9","02:00","-12.9"
"Enontekiö Kilpisjärvi Saana","2023","1","10","02:00","-8.9"
"Enontekiö Kilpisjärvi Saana","2023","1","11","02:00","-8.7"
"Enontekiö Kilpisjärvi Saana","2023","1","12","02:00","-5.9"
"Enontekiö Kilpisjärvi Saana","2023","1","13","02:00","-4.8"
"Enontekiö Kilpisjärvi Saana","2023","1","14","02:00","-5.6"
"Enontekiö Kilpisjärvi Saana","2023","1","15","02:00","-10.5"
"Enontekiö Kilpisjärvi Saana","2023","1","16","02:00","-8.4"
"Enontekiö Kilpisjärvi Saana","2023","1","17","02:00","-5"
"Enontekiö Kilpisjärvi Saana","2023","1","18","02:00","-6.3"
"Enontekiö Kilpisjärvi Saana","2023","1","19","02:00","-7.4"
"Enontekiö Kilpisjärvi Saana","2023","1","20","02:00","-4.7"
"Enontekiö Kilpisjärvi Saana","2023","1","21","02:00","-6.2"
"Enontekiö Kilpisjärvi Saana","2023","1","22","02:00","-0.3"
"Enontekiö Kilpisjärvi Saana","2023","1","23","02:00","-1.8"
"Enontekiö Kilpisjärvi Saana","2023","1","24","02:00","-5.7"
"Enontekiö Kilpisjärvi Saana","2023","1","25","02:00","-5.8"
"Enontekiö Kilpisjärvi Saana","2023","1","26","02:00","-6.9"
"Enontekiö Kilpisjärvi Saana","2023","1","27","02:00","-3"
"Enontekiö Kilpisjärvi Saana","2023","1","28","02:00","-1.7"
"Enontekiö Kilpisjärvi Saana","2023","1","29","02:00","-5.7"
"Enontekiö Kilpisjärvi Saana","2023","1","30","02:00","-9.1"
"Enontekiö Kilpisjärvi Saana","2023","1","31","02:00","-8.1"
"Enontekiö Kilpisjärvi Saana","2023","2","1","02:00","-7.5"
"Enontekiö Kilpisjärvi Saana","2023","2","2","02:00","-9.6"
"Enontekiö Kilpisjärvi Saana","2023","2","3","02:00","-11.2"
"Enontekiö Kilpisjärvi Saana","2023","2","4","02:00","-6.7"
"Enontekiö Kilpisjärvi Saana","2023","2","5","02:00","-4.7"
"Enontekiö Kilpisjärvi Saana","2023","2","6","02:00","-0.1"
"Enontekiö Kilpisjärvi Saana","2023","2","7","02:00","1"
"Enontekiö Kilpisjärvi Saana","2023","2","8","02:00","-1.5"
"Enontekiö Kilpisjärvi Saana","2023","2","9","02:00","-1.2"
"Enontekiö Kilpisjärvi Saana","2023","2","10","02:00","-6.5"
"Enontekiö Kilpisjärvi Saana","2023","2","11","02:00","-8.8"
"Enontekiö Kilpisjärvi Saana","2023","2","12","02:00","-2.5"
"Enontekiö Kilpisjärvi Saana","2023","2","13","02:00","-3.8"
"Enontekiö Kilpisjärvi Saana","2023","2","14","02:00","-1"
"Enontekiö Kilpisjärvi Saana","2023","2","15","02:00","-1"
"Enontekiö Kilpisjärvi Saana","2023","2","16","02:00","-3.2"
"Enontekiö Kilpisjärvi Saana","2023","2","17","02:00","-5.8"
"Enontekiö Kilpisjärvi Saana","2023","2","18","02:00","-7.8"
"Enontekiö Kilpisjärvi Saana","2023","2","19","02:00","-7.6"
"Enontekiö Kilpisjärvi Saana","2023","2","20","02:00","-8.7"
"Enontekiö Kilpisjärvi Saana","2023","2","21","02:00","-11.7"
"Enontekiö Kilpisjärvi Saana","2023","2","22","02:00","-12.5"
"Enontekiö Kilpisjärvi Saana","2023","2","23","02:00","-7.5"
"Enontekiö Kilpisjärvi Saana","2023","2","24","02:00","-6.5"
"Enontekiö Kilpisjärvi Saana","2023","2","25","02:00","-5.8"
"Enontekiö Kilpisjärvi Saana","2023","2","26","02:00","-3.1"
"Enontekiö Kilpisjärvi Saana","2023","2","27","02:00","-1.2"
"Enontekiö Kilpisjärvi Saana","2023","2","28","02:00","-8.1"
"Enontekiö Kilpisjärvi Saana","2023","3","1","02:00","-1.6"
"Enontekiö Kilpisjärvi Saana","2023","3","2","02:00","-3.8"
"Enontekiö Kilpisjärvi Saana","2023","3","3","02:00","-5.9"
"Enontekiö Kilpisjärvi Saana","2023","3","4","02:00","-9"
"Enontekiö Kilpisjärvi Saana","2023","3","5","02:00","-10.1"
"Enontekiö Kilpisjärvi Saana","2023","3","6","02:00","-13.6"
"Enontekiö Kilpisjärvi Saana","2023","3","7","02:00","-15"
"Enontekiö Kilpisjärvi Saana","2023","3","8","02:00","-14.6"
"Enontekiö Kilpisjärvi Saana","2023","3","9","02:00","-9.7"
"Enontekiö Kilpisjärvi Saana","2023","3","10","02:00","-10.6"
"Enontekiö Kilpisjärvi Saana","2023","3","11","02:00","-11.8"
"Enontekiö Kilpisjärvi Saana","2023","3","12","02:00","-8.8"
"Enontekiö Kilpisjärvi Saana","2023","3","13","02:00","-10"
"Enontekiö Kilpisjärvi Saana","2023","3","14","02:00","-11.8"
"Enontekiö Kilpisjärvi Saana","2023","3","15","02:00","-9.5"
"Enontekiö Kilpisjärvi Saana","2023","3","16","02:00","-10.3"
"Enontekiö Kilpisjärvi Saana","2023","3","17","02:00","-11"
"Enontekiö Kilpisjärvi Saana","2023","3","18","02:00","-11.7"
"Enontekiö Kilpisjärvi Saana","2023","3","19","02:00","-7.9"
"Enontekiö Kilpisjärvi Saana","2023","3","20","02:00","-8"
"Enontekiö Kilpisjärvi Saana","2023","3","21","02:00","-8.3"
"Enontekiö Kilpisjärvi Saana","2023","3","22","02:00","-10.3"
"Enontekiö Kilpisjärvi Saana","2023","3","23","02:00","-14.9"
"Enontekiö Kilpisjärvi Saana","2023","3","24","02:00","-11.5"
"Enontekiö Kilpisjärvi Saana","2023","3","25","02:00","-10.9"
"Enontekiö Kilpisjärvi Saana","2023","3","26","02:00","-11.3"
"Enontekiö Kilpisjärvi Saana","2023","3","27","03:00","-9.6"
"Enontekiö Kilpisjärvi Saana","2023","3","28","03:00","-9.6"
"Enontekiö Kilpisjärvi Saana","2023","3","29","03:00","-10.1"
"Enontekiö Kilpisjärvi Saana","2023","3","30","03:00","-6.7"
"Enontekiö Kilpisjärvi Saana","2023","3","31","03:00","-6.2"
"Enontekiö Kilpisjärvi Saana","2023","4","1","03:00","-8.7"
"Enontekiö Kilpisjärvi Saana","2023","4","2","03:00","-7.1"
"Enontekiö Kilpisjärvi Saana","2023","4","3","03:00","-6.6"
"Enontekiö Kilpisjärvi Saana","2023","4","4","03:00","-4.2"
"Enontekiö Kilpisjärvi Saana","2023","4","5","03:00","-1.7"
"Enontekiö Kilpisjärvi Saana","2023","4","6","03:00","-1.5"
"Enontekiö Kilpisjärvi Saana","2023","4","7","03:00","-0.9"
"Enontekiö Kilpisjärvi Saana","2023","4","8","03:00","-1.5"
"Enontekiö Kilpisjärvi Saana","2023","4","9","03:00","-0.1"
"Enontekiö Kilpisjärvi Saana","2023","4","10","03:00","-0.1"
