"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ylin lämpötila [°C]"
"Enontekiö Kilpisjärvi Saana","2023","11","18","02:00","-7.4"
"Enontekiö Kilpisjärvi Saana","2023","11","19","02:00","-8.5"
"Enontekiö Kilpisjärvi Saana","2023","11","20","02:00","-10"
"Enontekiö Kilpisjärvi Saana","2023","11","21","02:00","-9.3"
"Enontekiö Kilpisjärvi Saana","2023","11","22","02:00","-9.4"
"Enontekiö Kilpisjärvi Saana","2023","11","23","02:00","-10.4"
"Enontekiö Kilpisjärvi Saana","2023","11","24","02:00","-11.6"
"Enontekiö Kilpisjärvi Saana","2023","11","25","02:00","-7"
"Enontekiö Kilpisjärvi Saana","2023","11","26","02:00","-6.2"
"Enontekiö Kilpisjärvi Saana","2023","11","27","02:00","-8.1"
"Enontekiö Kilpisjärvi Saana","2023","11","28","02:00","-8.2"
"Enontekiö Kilpisjärvi Saana","2023","11","29","02:00","-8.2"
"Enontekiö Kilpisjärvi Saana","2023","11","30","02:00","-7.9"
"Enontekiö Kilpisjärvi Saana","2023","12","1","02:00","-7.8"
"Enontekiö Kilpisjärvi Saana","2023","12","2","02:00","-8.7"
"Enontekiö Kilpisjärvi Saana","2023","12","3","02:00","-7.7"
"Enontekiö Kilpisjärvi Saana","2023","12","4","02:00","-8.4"
"Enontekiö Kilpisjärvi Saana","2023","12","5","02:00","-9.3"
"Enontekiö Kilpisjärvi Saana","2023","12","6","02:00","-13.7"
"Enontekiö Kilpisjärvi Saana","2023","12","7","02:00","-14.4"
"Enontekiö Kilpisjärvi Saana","2023","12","8","02:00","-11.6"
"Enontekiö Kilpisjärvi Saana","2023","12","9","02:00","-11.9"
"Enontekiö Kilpisjärvi Saana","2023","12","10","02:00","-15.2"
"Enontekiö Kilpisjärvi Saana","2023","12","11","02:00","-9"
"Enontekiö Kilpisjärvi Saana","2023","12","12","02:00","-9.4"
"Enontekiö Kilpisjärvi Saana","2023","12","13","02:00","-10.4"
"Enontekiö Kilpisjärvi Saana","2023","12","14","02:00","-13.6"
"Enontekiö Kilpisjärvi Saana","2023","12","15","02:00","-12.5"
"Enontekiö Kilpisjärvi Saana","2023","12","16","02:00","-5.5"
"Enontekiö Kilpisjärvi Saana","2023","12","17","02:00","-4.4"
"Enontekiö Kilpisjärvi Saana","2023","12","18","02:00","-4.8"
"Enontekiö Kilpisjärvi Saana","2023","12","19","02:00","-7"
"Enontekiö Kilpisjärvi Saana","2023","12","20","02:00","-7.2"
"Enontekiö Kilpisjärvi Saana","2023","12","21","02:00","-10.4"
"Enontekiö Kilpisjärvi Saana","2023","12","22","02:00","-12.3"
"Enontekiö Kilpisjärvi Saana","2023","12","23","02:00","-11.4"
"Enontekiö Kilpisjärvi Saana","2023","12","24","02:00","-8.1"
"Enontekiö Kilpisjärvi Saana","2023","12","25","02:00","-8.9"
"Enontekiö Kilpisjärvi Saana","2023","12","26","02:00","-8"
"Enontekiö Kilpisjärvi Saana","2023","12","27","02:00","-6.3"
"Enontekiö Kilpisjärvi Saana","2023","12","28","02:00","-6.5"
"Enontekiö Kilpisjärvi Saana","2023","12","29","02:00","-8.3"
"Enontekiö Kilpisjärvi Saana","2023","12","30","02:00","-12.9"
"Enontekiö Kilpisjärvi Saana","2023","12","31","02:00","-16.2"
"Enontekiö Kilpisjärvi Saana","2024","1","1","02:00","-15"
"Enontekiö Kilpisjärvi Saana","2024","1","2","02:00","-13.2"
"Enontekiö Kilpisjärvi Saana","2024","1","3","02:00","-12.4"
"Enontekiö Kilpisjärvi Saana","2024","1","4","02:00","-12"
"Enontekiö Kilpisjärvi Saana","2024","1","5","02:00","-9.1"
"Enontekiö Kilpisjärvi Saana","2024","1","6","02:00","-8.2"
"Enontekiö Kilpisjärvi Saana","2024","1","7","02:00","-4.8"
"Enontekiö Kilpisjärvi Saana","2024","1","8","02:00","-2.4"
"Enontekiö Kilpisjärvi Saana","2024","1","9","02:00","-0.8"
"Enontekiö Kilpisjärvi Saana","2024","1","10","02:00","-2.1"
"Enontekiö Kilpisjärvi Saana","2024","1","11","02:00","-7.7"
"Enontekiö Kilpisjärvi Saana","2024","1","12","02:00","-8.2"
"Enontekiö Kilpisjärvi Saana","2024","1","13","02:00","-9"
"Enontekiö Kilpisjärvi Saana","2024","1","14","02:00","-13"
"Enontekiö Kilpisjärvi Saana","2024","1","15","02:00","-13.6"
"Enontekiö Kilpisjärvi Saana","2024","1","16","02:00","-17.2"
"Enontekiö Kilpisjärvi Saana","2024","1","17","02:00","-19.7"
"Enontekiö Kilpisjärvi Saana","2024","1","18","02:00","-16.3"
"Enontekiö Kilpisjärvi Saana","2024","1","19","02:00","-16.4"
"Enontekiö Kilpisjärvi Saana","2024","1","20","02:00","-12.4"
"Enontekiö Kilpisjärvi Saana","2024","1","21","02:00","-11.5"
"Enontekiö Kilpisjärvi Saana","2024","1","22","02:00","-7.6"
"Enontekiö Kilpisjärvi Saana","2024","1","23","02:00","-4.7"
"Enontekiö Kilpisjärvi Saana","2024","1","24","02:00","-5.5"
"Enontekiö Kilpisjärvi Saana","2024","1","25","02:00","-7.9"
"Enontekiö Kilpisjärvi Saana","2024","1","26","02:00","-7.9"
"Enontekiö Kilpisjärvi Saana","2024","1","27","02:00","-4.2"
"Enontekiö Kilpisjärvi Saana","2024","1","28","02:00","-3"
"Enontekiö Kilpisjärvi Saana","2024","1","29","02:00","-1.4"
"Enontekiö Kilpisjärvi Saana","2024","1","30","02:00","-1.9"
"Enontekiö Kilpisjärvi Saana","2024","1","31","02:00","-3"
"Enontekiö Kilpisjärvi Saana","2024","2","1","02:00","-4.1"
"Enontekiö Kilpisjärvi Saana","2024","2","2","02:00","-9.2"
"Enontekiö Kilpisjärvi Saana","2024","2","3","02:00","-8.1"
"Enontekiö Kilpisjärvi Saana","2024","2","4","02:00","-8"
"Enontekiö Kilpisjärvi Saana","2024","2","5","02:00","-10.5"
"Enontekiö Kilpisjärvi Saana","2024","2","6","02:00","-13"
"Enontekiö Kilpisjärvi Saana","2024","2","7","02:00","-12.3"
"Enontekiö Kilpisjärvi Saana","2024","2","8","02:00","-18.3"
"Enontekiö Kilpisjärvi Saana","2024","2","9","02:00","-18.6"
"Enontekiö Kilpisjärvi Saana","2024","2","10","02:00","-10.7"
"Enontekiö Kilpisjärvi Saana","2024","2","11","02:00","-10.6"
"Enontekiö Kilpisjärvi Saana","2024","2","12","02:00","-10.1"
"Enontekiö Kilpisjärvi Saana","2024","2","13","02:00","-12.4"
"Enontekiö Kilpisjärvi Saana","2024","2","14","02:00","-16.6"
"Enontekiö Kilpisjärvi Saana","2024","2","15","02:00","-14.4"
"Enontekiö Kilpisjärvi Saana","2024","2","16","02:00","-9"
"Enontekiö Kilpisjärvi Saana","2024","2","17","02:00","-9.7"
"Enontekiö Kilpisjärvi Saana","2024","2","18","02:00","-8.8"
"Enontekiö Kilpisjärvi Saana","2024","2","19","02:00","-6"
"Enontekiö Kilpisjärvi Saana","2024","2","20","02:00","-5.7"
"Enontekiö Kilpisjärvi Saana","2024","2","21","02:00","-6.3"
"Enontekiö Kilpisjärvi Saana","2024","2","22","02:00","-5.2"
"Enontekiö Kilpisjärvi Saana","2024","2","23","02:00","-4.7"
"Enontekiö Kilpisjärvi Saana","2024","2","24","02:00","-3"
"Enontekiö Kilpisjärvi Saana","2024","2","25","02:00","-4.1"
"Enontekiö Kilpisjärvi Saana","2024","2","26","02:00","-4"
"Enontekiö Kilpisjärvi Saana","2024","2","27","02:00","-6.1"
"Enontekiö Kilpisjärvi Saana","2024","2","28","02:00","-7"
"Enontekiö Kilpisjärvi Saana","2024","2","29","02:00","-6.3"
"Enontekiö Kilpisjärvi Saana","2024","3","1","02:00","-3.1"
"Enontekiö Kilpisjärvi Saana","2024","3","2","02:00","-1.9"
"Enontekiö Kilpisjärvi Saana","2024","3","3","02:00","-2.5"
"Enontekiö Kilpisjärvi Saana","2024","3","4","02:00","-4"
"Enontekiö Kilpisjärvi Saana","2024","3","5","02:00","-1.1"
"Enontekiö Kilpisjärvi Saana","2024","3","6","02:00","-1.2"
"Enontekiö Kilpisjärvi Saana","2024","3","7","02:00","-2.5"
"Enontekiö Kilpisjärvi Saana","2024","3","8","02:00","-4.5"
"Enontekiö Kilpisjärvi Saana","2024","3","9","02:00","-3.7"
"Enontekiö Kilpisjärvi Saana","2024","3","10","02:00","-2.8"
"Enontekiö Kilpisjärvi Saana","2024","3","11","02:00","-3.7"
"Enontekiö Kilpisjärvi Saana","2024","3","12","02:00","-3.9"
"Enontekiö Kilpisjärvi Saana","2024","3","13","02:00","-9.8"
"Enontekiö Kilpisjärvi Saana","2024","3","14","02:00","-11.3"
"Enontekiö Kilpisjärvi Saana","2024","3","15","02:00","-9.7"
"Enontekiö Kilpisjärvi Saana","2024","3","16","02:00","-11.5"
"Enontekiö Kilpisjärvi Saana","2024","3","17","02:00","-9.7"
"Enontekiö Kilpisjärvi Saana","2024","3","18","02:00","-2.2"
"Enontekiö Kilpisjärvi Saana","2024","3","19","02:00","-0.1"
"Enontekiö Kilpisjärvi Saana","2024","3","20","02:00","-0.8"
"Enontekiö Kilpisjärvi Saana","2024","3","21","02:00","-3.2"
